#,BUSINESS NAME,CATEGORY,COUNTRY,CITY,ADDRESS,WEBSITE,EMAIL,PHONE,STATUS,OUTREACH,NOTES
,AZ Cost Pro,Liquidateur,US,Phoenix,"1730 W Buchanan St, Phoenix, AZ 85007",https://www.facebook.com/az.cost.pro.llc,,(480) 942-8120,,🆕 New Lead,
,Primo Liquidation LLC,Liquidateur,US,Phoenix,"3334 W Van Buren St B, Phoenix, AZ 85009",http://primoliquidation.com/,,(602) 845-9713,,🆕 New Lead,
,Las Vegas Liquidation Pallets Superstore,Liquidateur,US,Las Vegas,"2570 E Tropicana Ave #10, Las Vegas, NV 89121",https://www.lasvegasliquidationpallets.com/superstore,,(702) 577-3333,,🆕 New Lead,
,Las Vegas Liquidation Pallets,Liquidateur,US,Las Vegas,"3775 E Sahara Ave, Las Vegas, NV 89104",https://lasvegasliquidationpallets.com/warehouse/,,(725) 227-8498,,🆕 New Lead,
,888 Lots,Liquidator,US,Linden,"1416 E Linden Ave, Linden, NJ 07036",https://888lots.com/?utm_campaign=WebsiteLinkBusinessInfo&utm_medium=GoogleBusinessInfo&utm_source=GoogleBusinessProfile,lots@888lots.com,"(908) 583-9300
",,🆕 New Lead,
,Dr Maged Salaheldin Medical Center,Dermatologue,AE,,"Dubai Healthcare city, Building 27, Block B, Office 401 - Dubai - Émirats arabes unis",,N/A,#ERROR!,,🆕 New Lead,
,Dr. Juwariya Tasneem Syeda,Dermatologue,AE,,Aster Jubilee Medical Complex - Khalid Bin Al Waleed Rd - Bur Dubai - Al Fahidi - Dubai - Émirats arabes unis,,,#ERROR!,,🆕 New Lead,
,"Dr Omar Al Khalili Clinic – Beauty, Aesthetics & Dermatology in Dubai",Dermatologue,AE,,Umm Al Sheif - Dubai - Émirats arabes unis,https://dromarkhalili.com/,,#ERROR!,,🆕 New Lead,
,Dr. Shubhangi Perkar - Dermal Fillers in Dubai | Acne Scars Treatment in Dubai,Dermatologue,AE,,"Amwaj Polyclinic LLC, Amwaj 2 Building P11 - Jumeirah Beach Residence - Dubai - Émirats arabes unis",https://amwajpolyclinic.com/,,#ERROR!,,🆕 New Lead,
,Ibrahim Abbara Dermatology & Venereology,Clinique dermatologique,AE,,Al Hana Center - 2nd Floor - 2nd St - Al Mankhool - Dubai - Émirats arabes unis,https://ibrahimabbara.com/dribrahimabbara,,#ERROR!,,🆕 New Lead,
,Perla Dermatology Clinic,Dermatologue,AE,,Retail 02 City walk - Building 11A - alsaada street - Al Wasl - Dubai - Émirats arabes unis,http://www.perla-dc.com/,,#ERROR!,,🆕 New Lead,
,Elive Beauty Spot Dermatology Clinic,Dermatologue,AE,,faris Mall - 16 St - Al Qouz First - Al Quoz - Dubai - Émirats arabes unis,https://eliveclinics.com/,,#ERROR!,,🆕 New Lead,
,City Dermatology Clinic Dubai,Dermatologue,AE,,Jumeira St - Jumeirah - Jumeirah 3 - Dubai - Émirats arabes unis,https://citydermatologyclinic.com/dubai/,,#ERROR!,,🆕 New Lead,
,Derma One Aesthetic Center - Cosmetic Centre Dubai,Dermatologue,AE,,348Q+294 - Cluster M - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - Émirats arabes unis,https://dermaone.ae/?utm_source=gmb,,#ERROR!,,🆕 New Lead,
,Dr Volha Shpadaruk,Dermatologue,AE,,"Building 64 - Building 64 ), Block A Third floor - Umm Hurair Second - Dubai Healthcare City - Dubai - Émirats arabes unis",https://dr-vs.com/,,#ERROR!,,🆕 New Lead,
,Dr. Mahaveer Mehta Dermatology center Dubai,Dermatologue,AE,,"641-B - office tower , Gate - 3 Al Rigga Rd - Al Muraqqabat - Deira - Dubai - Émirats arabes unis",http://www.skinlaserdubai.com/,,#ERROR!,,🆕 New Lead,
,Dr. VICTORIA Medical Center | Dermatologist | Botox | Filler | Aesthetic Treatment | Cosmetic Dermatology - Jumeirah,Dermatologue,AE,,Jumeirah - Jumeirah 1 - Dubai - Émirats arabes unis,https://www.instagram.com/dr.victoria.mc?igsh=MWg1MXh1cmE0NDE1Nw%3D%3D&utm_source=qr,,#ERROR!,,🆕 New Lead,
,Altaderma Clinic & Training Center Dubai,Dermatologue,AE,,Jumeirah 2 - Jumeirah Rd - Villa 349 26 E St - opposite four seasons Resort - Dubai - Émirats arabes unis,https://altaderma.com/?utm_source=gmb,,#ERROR!,,🆕 New Lead,
,Dr Habiba,Dermatologue,AE,,"Level 7, Fashion Parking - Dubai Mall - Sheikh Mohammed bin Rashid Blvd - Burj Khalifa - Downtown Dubai - Dubai - Émirats arabes unis",http://www.drhabiba.com/,,#ERROR!,,🆕 New Lead,
,Dr Eissan Ragab Dermatology Specialist,Dermatologue,AE,,Umm Hurair Second - Dubai Healthcare City - Dubai - Émirats arabes unis,https://www.dreissanragab.com/,,#ERROR!,,🆕 New Lead,
,Athena Dermatology Clinic,Dermatologue,AE,,"Commercial Entrance, The Onyx Tower - 2 Sheikh Zayed Rd - Al Thanyah Third - The Greens - Dubai - Émirats arabes unis",https://athenaderma.com/,,#ERROR!,,🆕 New Lead,
,Premium Cosmetic Laser Center,Dermatologue,AE,,Al shafar Building 7 - 102 Al Wasl Rd - Al Bada' - Jumeirah 1 - Dubai - Émirats arabes unis,https://gopremium.ae/,,#ERROR!,,🆕 New Lead,
,Dr. Aishani Shah - Dermatology & Aesthetic Clinic,Dermatologue,AE,,"Mubadala Health Dubai, Sunset mall - Jumeirah-3 - Jumeirah 3 - Dubai - Émirats arabes unis",https://mubadalahealthdubai.com/doctors-and-medical-staff/dr-aishani-shah/,,#ERROR!,,🆕 New Lead,
,Glow Aesthetics Dermatology Clinic - Burjuman,Dermatologue,AE,,Khalid Bin Al Waleed Rd - Al Mankhool - Dubai - Émirats arabes unis,https://glowdubai.ae/,,#ERROR!,,🆕 New Lead,
,Dr. Teena Mathew,Dermatologue,AE,,JTS Medical Centre LLC - Jumeirah - Jumeirah 1 - Dubai - Émirats arabes unis,https://jtsmedicalcentre.com/doctor/dr-teena-mathew/,,#ERROR!,,🆕 New Lead,
,Centro Dermatologico,Dermatologue,ES,Madrid,"Gran Vía, 67, Centro, 28013 Madrid, Espagne",,N/A,#ERROR!,,🆕 New Lead,
,"Clínica Marta Prieto | Dermatólogo en Madrid, Clínica Medicina Estética y Capilar",Dermatologue,ES,Madrid,"C. de Orense, 51, Bajo A, Tetuán, 28020 Madrid, Espagne",#ERROR!,N/A,#ERROR!,,🆕 New Lead,
,Centro Dermatológico Nuria Romero,Dermatologue,ES,Madrid,"Calle de Sta Engracia, 128, 1º, Chamberí, 28003 Madrid, Espagne",#ERROR!,N/A,#ERROR!,,🆕 New Lead,
,"Clinica IMEDE, Dermatological and Cosmetic Medical Center",Dermatologue,ES,Madrid,"P.º del Gral. Martínez Campos, 13, 1º CD, Chamberí, 28010 Madrid, Espagne",#ERROR!,info@imede.es,#ERROR!,,🆕 New Lead,
,Madriderma Dermatologo Privado Madrid,Dermatologue,ES,Madrid,"Calle de Castelló, 41, Bajo Izquierda, Salamanca, 28001 Madrid, Espagne",#ERROR!,info@madriderma.com,#ERROR!,,🆕 New Lead,
,Centro Médico Dermatológico - Dra. María Dolores Moya González,Dermatologue,ES,Madrid,"C. de Fernando el Católico, 13, bajo c, Chamberí, 28015 Madrid, Espagne",#ERROR!,N/A,#ERROR!,,🆕 New Lead,
,Consulta Privada Dermatológica - Dra. Martina Alés Fernández - Madrid,Dermatologue,ES,Madrid,"Av. de Ramón y Cajal, 109, Cdad. Lineal, 28043 Madrid, Espagne",#ERROR!,N/A,#ERROR!,,🆕 New Lead,
,Instituto de Medicina y Dermatología Avanzada (IMDA),Dermatologue,ES,Madrid,"Calle de Goya, 5, 7, entreplanta Pasaje comercial, Salamanca, 28001 Madrid, Espagne",#ERROR!,info@imda.es,#ERROR!,,🆕 New Lead,
,Clínica Dermogalénica - Dermatólogo Madrid (Santiago Vidal Asensi),Dermatologue,ES,Madrid,"Cl. de Ayala, 38, 1ºB, Salamanca, 28001 Madrid, Espagne",,N/A,#ERROR!,,🆕 New Lead,
,"Clínica DermoMedic. Dermatología médica, quirúrgica y estética",Dermatologue,ES,Madrid,"C. de Hermosilla, 59, Bajo derecha, Salamanca, 28001 Madrid, Espagne",#ERROR!,consulta@dermomedic.com,#ERROR!,,🆕 New Lead,
,"Clínica AB Derma - Dermatología, Tricología y Medicina Estética",Clinique dermatologique,ES,Madrid,"Calle de Diego de León, 52, Salamanca, 28006 Madrid, Espagne",#ERROR!,N/A,#ERROR!,,🆕 New Lead,
,Clínica Eguren Dermatología y Estética | Dermatólogas especialistas en rosácea y acné en Madrid,Dermatologue,ES,Madrid,"C. de Lope de Rueda, 13, Entreplanta dcha, Salamanca, 28009 Madrid, Espagne",#ERROR!,info@clinicaeguren.com,#ERROR!,,🆕 New Lead,
,ONESKIN-MED Clínica Dermatológica,Dermatologue,ES,Madrid,"Calle de Fernández de la Hoz, 76, bajo A, Chamberí, 28003 Madrid, Espagne",#ERROR!,info@oneskinmed.com,#ERROR!,,🆕 New Lead,
,Dermaniac - Clínica Dermatológica en Madrid. Dra. Elena Vargas,Clinique dermatologique,ES,Madrid,"C. de Andrés Mellado, 23, Chamberí, 28015 Madrid, Espagne",#ERROR!,citaprevia@dermaniac.com,#ERROR!,,🆕 New Lead,
,Clínica dermatológica De Felipe Madrid,Dermatologue,ES,Madrid,"Av. de Menéndez Pelayo, 81, Retiro, 28007 Madrid, Espagne",#ERROR!,madrid@defelipe.com,#ERROR!,,🆕 New Lead,
,International Dermatology Clinic,Dermatologue,ES,Madrid,"C. del Marqués de Villamagna, 8, Salamanca, 28001 Madrid, Espagne",#ERROR!,N/A,#ERROR!,,🆕 New Lead,
,Dermatology Consultation Dr. Marta Moratinos,Dermatologue,ES,Madrid,"C. de Cáceres, 35, Arganzuela, 28045 Madrid, Espagne",#ERROR!,secretarias@dermamoratinos.es,#ERROR!,,🆕 New Lead,
,Clínica dermatológica IMR Madrid - Castellana,Dermatologue,ES,Madrid,"P.º de la Castellana, 96, Chamartín, 28046 Madrid, Espagne",#ERROR!,N/A,#ERROR!,,🆕 New Lead,
,Derma360 - Clínica de Dermatologia,Skin care clinic,PT,Lisbon,"Av. Duque de Loulé 5 2C, 1050-085 Lisboa, Portugal",https://derma360.pt/,info@derma360.pt,"351 21 043 4052
",,🆕 New Lead,
,A|D Lisbon (Aesthetic & Dermatology Lisbon),Medical clinic,PT,Lisbon,"R. Rodrigues Sampaio 146 3dto, 1150-282 Lisboa, Portugal",http://adlisbon.pt/,N/A,"351 963 954 090
",,🆕 New Lead,
,Centro de Dermatologia de Lisboa,Dermatologist,PT,Lisbon,"R. Augusto Gil 35B, 1000-064 Lisboa, Portugal",https://cdlisboa.pt/,geral@cdlisboa.pt,"351 21 053 4090
",,🆕 New Lead,
,"Clinical Dermatology Do Areeiro, Lda.",Skin care clinic,PT,Lisbon,"Av. Afonso Costa 22 SL D, 1900-036 Lisboa, Portugal",http://www.dermareeiro.pt/,geral@dermareeiro.pt,"351 21 845 2779
",,🆕 New Lead,
,Personal Derma - Dermatology Clinic & Esthetic,Dermatologist,PT,Lisbon,"Av. António Augusto de Aguiar 110 C, 1050-019 Lisboa, Portugal",http://www.personalderma.pt/,N/A,"351 910 333 055
",,🆕 New Lead,
,Dermatologista Dra. Teresa Fiadeiro,Dermatologist,PT,Lisbon,"Av. da República 101, 1050-197 Lisboa, Portugal",,N/A,"351 21 780 1808
",,🆕 New Lead,
,Dr. João Abel Amaro,Dermatologist,PT,Lisbon,"Alameda Dom Afonso Henriques 74, 1000-124 Lisboa, Portugal",https://www.joaoabelamaro.com.pt/,consultorioalameda@gmail.com,"351 21 843 5530
",,🆕 New Lead,
,Clínica Dra Isabel Fonseca Dermatologia,Dermatologist,PT,Lisbon,"R. Joaquim António de Aguiar 43, 1070-150 Lisboa, Portugal",https://www.isabelfonsecadermatologia.com/,clidermatologia@gmail.com,"351 925 998 775
",,🆕 New Lead,
,Este Medical Group- Hair & Skin Clinic Glasgow,Skin care clinic,GB,Glasgow,"1st Floor, 176 Bath St, Glasgow G2 4HG, United Kingdom",https://www.estemedicalgroup.uk/clinics/glasgow,N/A,"44 141 231 1883
",,🆕 New Lead,
,Dartmouth Hitchcock Clinics Manchester | Dermatology,Dermatologist,US,Manchester,"100 Hitchcock Way, Manchester, NH 03104",http://www.dartmouth-hitchcock.org/dermatology.html,N/A,"(603) 695-2540
",,🆕 New Lead,
,Dermatology Associates of Glastonbury: Zubkov Bella MD,Dermatologist,US,Glastonbury,"210 New London Turnpike, Glastonbury, CT 06033",http://dagdermdocs.com/,N/A,"(860) 633-1543
",,🆕 New Lead,
,Dermatology & Skin Health,Dermatologist,US,Bedford,"160 S River Rd Suite 2400, Bedford, NH 03110",https://dermskinhealth.com/,info@dermskinhealth.com,"(603) 742-5556
",,🆕 New Lead,
,Optima Dermatology & Medical Aesthetics,Dermatologist,US,Bedford,"176 S River Rd, Bedford, NH 03110",https://optimadermatology.com/locations/nh/bedford-nh,N/A,"(603) 942-2003
",,🆕 New Lead,
,Lumiere Clinic Manchester,Dermatologist,GB,Manchester,"38 City Rd E, Manchester M15 4QN, United Kingdom",http://www.lumiereclinic.co.uk/,info@lumiereclinic.co.uk,"44 161 236 6500
",,🆕 New Lead,
,Farmington Valley Dermatology,Dermatologist,US,South Windsor,"2400 Tamarack Ave #203, South Windsor, CT 06074",https://fvderm.com/,contact@fvderm.com,"(860) 674-9900
",,🆕 New Lead,
,"Moira Quinn, FNP-C, DCNP",Dermatologist,US,Leominster,"80 Erdman Way #100, Leominster, MA 01453",,N/A,"(978) 371-7010
",,🆕 New Lead,
,Manchester Dermatology Clinic,Dermatologist,GB,Manchester,"55 King St, Manchester M2 4LQ, United Kingdom",http://manchesterdermatologyclinic.co.uk/,example@mysite.com,"44 161 768 7674
",,🆕 New Lead,
,Pinnacle Dermatology - Manchester,Dermatologist,US,Manchester,"1020 McArthur St, Manchester, TN 37355",https://pinnacleskin.com/our-locations/manchester/?y_source=1_MTQxMzY2MzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,N/A,"(931) 954-1400
",,🆕 New Lead,
,"Adult & Pediatric Dermatology, PC",Skin care clinic,US,Manchester,"87 McGregor Street Suite 2100 Notre Dame Pavilion, Manchester, NH 03102",https://www.apderm.com/locations/manchester-nh/?utm_source=google&utm_medium=organic&utm_campaign=gmb,N/A,"(603) 626-7546
",,🆕 New Lead,
,The Mole Clinic Manchester,Dermatologist,GB,Manchester,"7 St James's Square, Manchester M2 6DN, United Kingdom",https://themoleclinic.co.uk/manchester/?utm_source=google&utm_medium=local&utm_campaign=gmb,N/A,"44 800 023 4212
",,🆕 New Lead,
,Dr Nicole Dermatology,Dermatologist,GB,Manchester,"Lumiere Clinic, 38 City Rd E, Manchester M15 4QN, United Kingdom",http://www.drnicoledermatology.co.uk/,info@drnicoledermatology.co.uk,"44 161 236 6500
",,🆕 New Lead,
,Derm Expert Dr Tim Clayton,Dermatologist,GB,Manchester,"76 King St, Manchester M2 4NH, United Kingdom",https://www.dermexpert.co.uk/,N/A,"44 161 536 4008
",,🆕 New Lead,
,Smart Start Ignition Interlock,Safety equipment supplier,US,Greenfield,"150 Federal St, Greenfield, MA 01301",https://www.smartstartinc.com/locations/ignition-interlock-massachusetts-greenfield-150-federal-st-01301/?utm_source=Google&utm_campaign=5576&utm_medium=locations_organic,N/A,"(413) 223-9252
",,🆕 New Lead,
,Magdalena Pastuszak- RC- Dermatolog,Dermatologist,PL,Szczecin,"Narutowicza 11/39, 70-240 Szczecin, Poland",,N/A,"
",,🆕 New Lead,
,Indigogene Denim - Custom Leather & Denim Clothes,Sewing company,US,Mesa,"840 W University Dr #5, Mesa, AZ 85201",https://www.jrsewingmanufacture.com/,jrsewingmanufacture@gmail.com,"(480) 262-2123
",,🆕 New Lead,
,iconic garments,Clothes and fabric manufacturer,US,Kearny,"78 John Miller Way, Kearny, NJ 07032",,,"
",,🆕 New Lead,
,Whitley Realty Team LLC,Real estate agent,,,,,N/A,"(252) 378-0075
",,🆕 New Lead,
,Fashion Threads Ltd.,Clothes and fabric manufacturer,GB,Hove,"21 Lansdowne St, Brighton and Hove, Hove BN3 1FS, United Kingdom",http://www.fashionthreads.co.uk/,info@fashionthreads.co.uk,"44 7970 106336
",,🆕 New Lead,
,Fitness Clothing Manufacturer in UK,Clothes and fabric manufacturer,GB,London,"35 Catherine Pl, Buckingham Gate, London SW1E 6DY, United Kingdom",https://www.fitnessclothingmanufacturer.com/europe/uk/,N/A,"
",,🆕 New Lead,
,KC Manufacturing,Manufacturer,GB,Dunfermline,"26-42 Gardener's Street, Dunfermline KY12 0RN, United Kingdom",http://kalopsiacollective.com/,N/A,"44 131 281 1086
",,🆕 New Lead,
,Grade House Ltd Clothing Manufacturer & Fashion Product Development London,Clothes and fabric manufacturer,GB,London,"45-47 Alperton Ln, London HA0 1DX, United Kingdom",http://gradehouseltd.com/,info@gradehouseltd.com,"44 20 3544 2244
",,🆕 New Lead,
,Karpelle,Clothes and fabric manufacturer,GB,Oldham,"G02 Ground Floor, Ram Mill, Business Centre, Gordon St, Chadderton, Oldham OL9 9RH, United Kingdom",http://www.karpelle.co.uk/,N/A,"44 161 203 2400
",,🆕 New Lead,
,Bridge & Stitch,Clothes and fabric manufacturer,GB,Nottingham,"620A Mansfield Rd, Sherwood, Nottingham NG5 2GA, United Kingdom",http://bridgeandstitch.com/,hello@bridgeandstitch.com,"44 115 684 2525
",,🆕 New Lead,
,Fabrika London,Clothes and fabric manufacturer,GB,London,"Design District, 1 Barton Yard, Soames Walk, London SE10 0BN, United Kingdom",http://www.fabrika.london/,info@fabrikalondon.com,"44 7946 503408
",,🆕 New Lead,
,Corporatewear UK,Clothes and fabric manufacturer,GB,Birmingham,"Corporatewear UK, 2 Athole St, Birmingham B12 0DA, United Kingdom",http://www.cwear.co.uk/,info@cwear.co.uk,"44 121 446 2610
",,🆕 New Lead,
,L S Manufacturing UK,Clothes and fabric manufacturer,GB,Wolverhampton,"Sidney St, Wolverhampton WV2 4HH, United Kingdom",https://www.lsmanufacturing.com/,N/A,"44 1902 711823
",,🆕 New Lead,
,FPM UK LTD,Clothes and fabric manufacturer,GB,Birmingham,"60 Norton St, Birmingham B18 5RE, United Kingdom",http://www.fpmuk.net/,info@fpmuk.net,"44 121 551 1400
",,🆕 New Lead,
,Bulldog - London Clothing Manufacturer UK,Clothes and fabric manufacturer,GB,London,"14D, Leyton Studios, London E10 7QE, United Kingdom",https://www.londonclothingmanufacturer.co.uk/,N/A,"44 7429 291160
",,🆕 New Lead,
,Global Clothes Manufacturing |Cloth manufacturing Company in UK,Clothes and fabric manufacturer,GB,London,"6 London St, London EC3R 7LP, United Kingdom",https://globalclothesmanufacturing.com/,N/A,"44 7864 616152
",,🆕 New Lead,
,The Clothing Manufacturers UK,Clothes and fabric manufacturer,GB,London,"186 Bridport Rd, London N18 1SJ, United Kingdom",https://theclothingmanufacturers.com/,N/A,"44 7899 491932
",,🆕 New Lead,
,DSA Manufacturing,Clothes and fabric manufacturer,GB,Swansea,"DSA Manufacturing, The Old Sketty Coach House, 21 Gower Rd, Sketty, Swansea SA2 9BX, United Kingdom",http://www.dsa-manufacturing.co.uk/,N/A,"
",,🆕 New Lead,
,Fashion UK,Clothes and fabric manufacturer,GB,Leicester,"11 St Georges Way, Leicester LE1 1SH, United Kingdom",https://www.fashionsuk.com/,N/A,"44 116 276 2929
",,🆕 New Lead,
,"Affix Apparel: Clothing Manufacturers Uk, T Shirt Manufacturer Uk, Sportswear Manufacturers Uk",Clothes and fabric manufacturer,GB,London,"International House, 12 Constance St, London E16 2DQ, United Kingdom",https://affixapparel.co.uk/#utm_source=GMB&utm_medium=UK&utm_campaign=GMB+UK&utm_id=GMB+UK,N/A,"44 7868 710666
",,🆕 New Lead,
,Clothing Manufacturers UK,Clothes and fabric manufacturer,GB,London,"Unit 2B, 186 Bridport Rd, London N18 1SJ, United Kingdom",https://www.clothingmanufacturersuk.com/,info@clothingmanufacturersuk.com,"44 7522 191277
",,🆕 New Lead,
,Fashionworks London,Clothes and fabric manufacturer,GB,London,"27 Old Gloucester St, London WC1N 3AX, United Kingdom",https://fashionworkslondon.com/,N/A,"44 20 3917 4101
",,🆕 New Lead,
,Wangsheng Clothing Factory,Manufacturer,CN,Guangzhou,"38HF+VGM, Qiaonan St, Haizhu District, Guangzhou, Guangdong Province, China, 510305",,N/A,"86 20 2212 4605
",,🆕 New Lead,
,China Erchong Wanlu Transport Industry Clothing Factory,Manufacturer,CN,Deyang,"49GJ+6X5, Jinjiang Rd, Jingyang District, Deyang, Sichuan, China, 618013",,N/A,"86 838 222 4392
",,🆕 New Lead,
,Chase USA International Inc,Clothing store,US,San Diego,"388 W Calle Primera, San Diego, CA 92173",http://www.chaseusaapparel.com/,sales@chaseusaint.com,"(619) 662-0130
",,🆕 New Lead,
,China Jinzhong Clothing Factory,Manufacturer,CN,Guangzhou,"China, Guangdong Province, Guangzhou, Haizhu District, Taisha Rd, 西畔里西二巷8 邮政编码: 510288",,N/A,"
",,🆕 New Lead,
,Beijing Weikatong Clothing Factory,Manufacturer,CN,Tongzhou,"RPH2+RWJ, Zhangcai Rd, Tongzhou, Beijing, China, 101123",,N/A,"
",,🆕 New Lead,
,Guangzhou Haizhu Xihuang Clothing Factory,Manufacturer,CN,Guangzhou,"20 Chigang W Rd, 客村 Haizhu District, Guangzhou, Guangdong Province, China, 510310",,N/A,"
",,🆕 New Lead,
,Boming Clothing Factory,Manufacturer,CN,Foshan,"46M5+69H, Xinglong St, Nanhai District, Foshan, Guangdong Province, China, 510168",,N/A,"86 757 8113 0991
",,🆕 New Lead,
,Arlisman clothing manufacturer,Clothes and fabric manufacturer,CN,Zhongshan,"China, Guangdong Province, Zhongshan, Town, Shaxi, Zhongshan, No.2 Building 3,Pangtou industry str",https://www.arlisman.com/,N/A,"
",,🆕 New Lead,
,Guangzhou Melten Fashion Clothing Factory,Manufacturer,CN,Guangzhou,"27VP+7FJ, Yansha Rd, Panyu District, Guangzhou, Guangdong Province, China, 511431",https://www.meltenfashion.com/,N/A,"
",,🆕 New Lead,
,Acme Prints,Screen printing shop,US,Phoenix,"705 N 7th Ave, Phoenix, AZ 85007",http://www.acmeprints.com/,info@acmeprints.com,"(602) 461-7171
",,🆕 New Lead,
,Memon Garments Manufacturer - MGM Apparel Pvt ltd,Manufacturer,PK,Karachi,"Yousuf hotel, Mehran Town Sector 6 D Korangi, Karachi, Pakistan",,N/A,"92 334 3448929
",,🆕 New Lead,
,Intradeco Apparel Inc,Clothing supplier,US,Medley,"9500 NW 108th Ave, Medley, FL 33178",http://www.intradeco.com/,customercare@intradeco.com,"(305) 264-8888
",,🆕 New Lead,
,Divina Moda Made in Turkey Wholesale Women's Fashion Clothing Store,Clothing wholesale market place,US,Miami,"2029 NW 20th St, Miami, FL 33142",https://www.divinamoda.net/,Sales@divinamoda.net,"(786) 740-6715
",,🆕 New Lead,
,Original apparel (Factory Outlet),Clothes and fabric manufacturer,PK,Faisalabad,"9-KM, 203RB Lahore - Sheikhupura - Faisalabad Rd, Qamar Garden, Faisalabad, 38600, Pakistan",,N/A,"92 321 6624838
",,🆕 New Lead,
,ZAK GARMENT® 🇵🇰 (Manufacturer & Wholesaler),Manufacturer,PK,KARACHI,"ZAK GARMENT® 🇵🇰 *(Manufacturer & Wholesaler)*, Clifton Block-8, Dehli Colony Near Aqsa Masjid, Delhi Colony 2, KARACHI, 75600, Pakistan",https://wa.me/c/923012731594,N/A,"92 301 2731594
",,🆕 New Lead,
,Pakistan Leather Garments Manufacturing Company,Manufacturer,PK,Lahore,"Bostan Colony Near Railway Power House School Street Plot No 9/S/10 Peco, Road, Kotlakhpat, Lahore, 54000, Pakistan",https://www.leather.com.pk/,N/A,"92 300 4597039
",,🆕 New Lead,
,ZK INTERNATIONAL,Manufacturer,PK,Faisalabad,"Raja Ghulam, P-841 Street 6, Rasool Nagar Al Masoom Town, Faisalabad, 38000, Pakistan",http://www.zkinternational.com/,info@zkinternational.com,"92 41 2438615
",,🆕 New Lead,
,"Manufacturers of Jacket, Company Uniform, t-shirt,bags and all types of garments in Lahore",Manufacturer,PK,Lahore,"BANK STOP, HAKIM Chowk, Lahore, 05450, Pakistan",,N/A,"92 321 4948740
",,🆕 New Lead,
,Brand Stuff ( Clothing Manufacturers ),Clothing supplier,PK,Sialkot,"Hajipura Road, Haji Pura Bun Rd، Abad Nagar Hajipura, Sialkot, 51310, Pakistan",https://brand-stuff.com/,info@brand-stuff.com,"92 333 8642333
",,🆕 New Lead,
